numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
71805;20180112150000;102310;10;0;240;7.000000;277.950000;276.750000;92;8000;1;2;2;90;2;1250;35;20;11;102220;mq;mq;-470;mq;mq;mq;mq;273.450000;mq;mq;10.500000;10.800000;-10;1;0.000000;0.000000;-30;0.000000;0.000000;-0.100000;0.200000;0.200000;mq;mq;mq;mq;2;6;1470;7;0;7500;mq;mq;mq;mq;mq;mq;
78890;20180112150000;101780;0;mq;90;9.300000;301.350000;295.350000;70;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101470;mq;mq;-70;mq;298.050000;mq;301.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20180112150000;101830;20;0;110;6.600000;301.550000;294.050000;64;46720;mq;mq;mq;mq;mq;mq;mq;mq;mq;101740;mq;mq;-50;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20180112150000;101640;0;mq;90;8.100000;300.950000;296.150000;75;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101340;mq;mq;-80;mq;298.450000;mq;301.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20180112150000;101740;30;0;100;8.600000;301.550000;295.350000;69;25630;0;mq;mq;mq;4;800;mq;mq;mq;101650;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;12.900000;13.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.600000;mq;mq;mq;mq;3;mq;780;3;mq;960;mq;mq;mq;mq;mq;mq;
81401;20180112150000;101370;10;mq;50;3.200000;302.550000;296.250000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101310;mq;mq;-60;mq;295.650000;mq;304.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20180112150000;101390;10;0;40;6.400000;301.950000;296.150000;71;54090;0;mq;mq;mq;5;1750;mq;mq;mq;101300;mq;mq;-60;mq;mq;mq;mq;297.450000;mq;mq;9.100000;9.100000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;0.200000;0.400000;mq;mq;mq;mq;2;mq;1680;5;mq;2220;mq;8;mq;mq;mq;mq;
81408;20180112150000;101320;10;mq;10;3.500000;299.850000;298.050000;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101250;mq;mq;-50;mq;295.750000;mq;301.550000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;1.000000;25.000000;34.300000;59.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20180112150000;101440;10;mq;10;2.300000;300.350000;296.550000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100240;mq;mq;-20;mq;295.550000;mq;305.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;8.700000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20180112150000;98630;-260;6;100;8.200000;273.050000;264.650000;49;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;15.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
