Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
9034,Godot de Mauroy - Madeleine,OUI,22,1,21,8,13,OUI,OUI,2020-05-29T10:41:14Z,"48.869789,2.326347",Paris,NA
4010,Saint-Antoine Sévigné,OUI,26,2,20,13,7,OUI,OUI,2020-05-29T10:43:14Z,"48.8550222,2.3612322",Paris,NA
15127,Place Charles Michels,OUI,37,2,34,33,1,OUI,OUI,2020-05-29T10:39:54Z,"48.846401,2.28502",Paris,NA
14011,Place des Droits de l'Enfant,OUI,24,18,6,0,6,OUI,OUI,2020-05-29T10:38:59Z,"48.8274804,2.3319217",Paris,NA
9009,Square Montholon,OUI,21,16,4,4,0,OUI,OUI,2020-05-29T10:40:48Z,"48.8766203775,2.34576411545",Paris,NA
18140,Porte de Clignancourt - Ney,OUI,40,30,10,4,6,OUI,OUI,2020-05-29T10:42:59Z,"48.899641124,2.34432142228",Paris,NA
13051,Halle Freyssinet - Parvis Alan Turing,OUI,23,18,5,0,5,OUI,OUI,2020-05-29T10:42:30Z,"48.8328468145,2.37114217132",Paris,NA
19201,Petit - Georges Thill,OUI,23,23,0,0,0,OUI,OUI,2020-05-29T10:41:33Z,"48.88603132,2.3895753175",Paris,NA
5122,Saint-Michel - Luxembourg,NON,0,0,0,0,0,NON,NON,2019-03-20T14:39:32Z,"48.845,2.339787",Paris,NA
4103,Archives - Rivoli,OUI,25,8,16,11,5,OUI,OUI,2020-05-29T10:42:28Z,"48.8573467074,2.35397670418",Paris,NA
2003,Saint-Denis - Réaumur,OUI,32,20,12,9,3,OUI,OUI,2020-05-29T10:42:48Z,"48.8661116316,2.35077906755",Paris,NA
21507,Gardenat-Lapostol - Velettes,OUI,20,20,0,0,0,OUI,OUI,2020-05-29T10:41:58Z,"48.87387,2.224185",Suresnes,NA
44001,Quai Jules Guesde - Saint-Simon,NON,30,30,0,0,0,NON,NON,2019-05-21T09:16:20Z,"48.8039148722,2.40896616203",Vitry-sur-Seine,NA
16044,Porte de Saint Cloud - Parc des Princes,OUI,32,6,26,24,2,OUI,OUI,2020-05-29T10:42:39Z,"48.8386627571,2.2525164485",Paris,NA
4007,Place de la Bastille - Bourdon,NON,0,0,0,0,0,NON,NON,2019-01-09T10:07:23Z,"48.8524992,2.3681359",Paris,NA
1026,Place du Lieutenant Henri Karcher,OUI,30,7,23,19,4,OUI,OUI,2020-05-29T10:43:01Z,"48.8634908717,2.34006710351",Paris,NA
12113,Cardinal Lavigerie,OUI,46,32,14,11,3,OUI,OUI,2020-05-29T10:40:27Z,"48.8329341937,2.4026367494",Paris,NA
8003,Galilée - Vernet,OUI,17,9,8,1,7,OUI,OUI,2020-05-29T10:36:37Z,"48.8717158787,2.2985444963",Paris,NA
10031,Louis Blanc - Aqueduc,OUI,37,35,2,0,2,OUI,OUI,2020-05-29T10:40:39Z,"48.8820301826,2.36356157809",Paris,NA
6003,Saint-Sulpice,OUI,21,17,4,4,0,OUI,OUI,2020-05-29T10:42:33Z,"48.8516538318,2.33080778271",Paris,NA
15047,Morillons - Dantzig,OUI,52,50,3,2,1,OUI,OUI,2020-05-29T10:41:17Z,"48.8331014995,2.29938000441",Paris,NA
17025,Chazelles - Courcelles,OUI,35,28,5,5,0,OUI,OUI,2020-05-29T10:41:22Z,"48.879406605,2.30344556272",Paris,NA
13101,Croulebarde - Corvisart,OUI,34,22,12,11,1,OUI,OUI,2020-05-29T10:42:19Z,"48.8309816593,2.34816469252",Paris,NA
16118,Michel-Ange - Parent de Rosan,OUI,26,17,9,3,6,OUI,OUI,2020-05-29T10:41:18Z,"48.8405799237,2.25841194391",Paris,NA
15028,Grenelle - Dr Finlay,OUI,71,35,35,27,8,OUI,OUI,2020-05-29T10:43:29Z,"48.8513154067,2.29195028543",Paris,NA
17004,Legendre - Clichy,OUI,40,37,4,1,3,OUI,OUI,2020-05-29T10:41:20Z,"48.8889616186,2.32252897509",Paris,NA
16039,Exelmans - Versailles,OUI,49,37,12,11,1,OUI,OUI,2020-05-29T10:43:00Z,"48.8409749109,2.26439025253",Paris,NA
8017,Rocher - Laborde,OUI,65,43,19,15,4,OUI,OUI,2020-05-29T10:43:01Z,"48.8759024071,2.32261631638",Paris,NA
20037,Gambetta - Saint Fargeau,OUI,24,23,1,0,1,OUI,OUI,2020-05-29T10:37:58Z,"48.8712446104,2.40390568972",Paris,NA
10024,Buisson Saint-Louis - Saint-Maur,OUI,19,17,2,0,2,OUI,OUI,2020-05-29T10:39:43Z,"48.8717468493,2.37225283288",Paris,NA
15106,Grenelle - Violet,OUI,35,12,23,21,2,OUI,OUI,2020-05-29T10:43:33Z,"48.8499303551,2.29461204261",Paris,NA
35002,Jean Jaurès - Presles,OUI,30,21,9,2,7,OUI,OUI,2020-05-29T10:42:37Z,"48.907134415,2.39600572805",Pantin,NA
41404,Carnot - Pâquerettes,OUI,26,11,15,11,4,OUI,OUI,2020-05-29T10:42:17Z,"48.7959293943,2.42618411779",Alfortville,NA
44004,Place de l'Eglise,OUI,28,12,16,7,9,OUI,OUI,2020-05-29T10:42:17Z,"48.7919228199,2.39505775273",Vitry-sur-Seine,NA
19032,Villette - Belleville,OUI,48,42,6,4,2,OUI,OUI,2020-05-29T10:43:11Z,"48.8726877314,2.37646132708",Paris,NA
32302,Chemin Vert - Fraternité,OUI,20,13,7,0,7,OUI,OUI,2020-05-29T10:36:14Z,"48.8771412084,2.44615651667",Romainville,NA
17028,Reims - Raymond Pitet,OUI,37,36,1,0,1,OUI,OUI,2020-05-29T10:39:09Z,"48.8888,2.296319",Paris,NA
8035,Bienfaisance - Place de Narvik,OUI,36,11,24,14,10,OUI,OUI,2020-05-29T10:42:46Z,"48.8766016346,2.31297712773",Paris,NA
10113,Parmentier - Hôpital Saint-Louis,OUI,43,36,6,3,3,OUI,OUI,2020-05-29T10:43:28Z,"48.8713798743,2.36989638367",Paris,NA
11102,Alexandre Dumas - Voltaire,OUI,59,40,14,11,3,OUI,OUI,2020-05-29T10:39:21Z,"48.8528886704,2.38914764081",Paris,NA
16026,Ranelagh - Mozart,OUI,23,12,11,8,3,OUI,OUI,2020-05-29T10:43:25Z,"48.8554533455,2.27019153535",Paris,NA
31103,Gare Rosny-Bois-Perrier,OUI,36,4,32,9,23,OUI,OUI,2020-05-29T10:41:56Z,"48.8811502334,2.48043682426",Rosny-sous-Bois,NA
35009,Jean Lolive - Parc Stalingrad,OUI,23,20,3,1,2,OUI,OUI,2020-05-29T10:39:13Z,"48.892061744,2.40917354822",Pantin,NA
20136,Henri Chevreau - Couronnes,OUI,27,25,2,0,2,OUI,OUI,2020-05-29T10:38:52Z,"48.8703320531,2.3887776956",Paris,NA
42023,Place Léon Gambetta,OUI,26,10,16,14,2,OUI,OUI,2020-05-29T10:36:19Z,"48.8146125024,2.40292936563",Ivry-sur-Seine,NA
23002,Pont de Levallois-bécon,OUI,50,35,14,11,3,OUI,OUI,2020-05-29T10:40:42Z,"48.8984179,2.2791311",Levallois-Perret,NA
17027,Place du Maréchal Juin - Péreire,OUI,46,37,9,4,5,OUI,OUI,2020-05-29T10:43:30Z,"48.885263,2.298286",Paris,NA
17047,Courcelles - Pierre Demours,OUI,26,18,8,3,5,OUI,OUI,2020-05-29T10:43:09Z,"48.8837697333,2.29858466343",Paris,NA
17122,Bridaine - Lamandé,OUI,29,27,2,0,2,OUI,OUI,2020-05-29T10:40:59Z,"48.8862074,2.3206239",Paris,NA
15108,Lourmel - Marie Skobtsov,OUI,22,10,12,10,2,OUI,OUI,2020-05-29T10:40:59Z,"48.844974,2.287283",Paris,NA
20118,Orteaux - Mouraud,OUI,24,20,4,1,3,OUI,OUI,2020-05-29T10:41:23Z,"48.8555864285,2.40876290776",Paris,NA
19127,Aubervilliers - Curial,OUI,23,18,5,1,4,OUI,OUI,2020-05-29T10:40:31Z,"48.8908830523,2.36885793507",Paris,NA
1120,Lavandieres Sainte Opportune - Rivoli,OUI,27,19,6,5,1,OUI,OUI,2020-05-29T10:39:33Z,"48.8592797025,2.34662175179",Paris,NA
9017,Lallier - Trudaine,OUI,29,28,1,1,0,OUI,OUI,2020-05-29T10:36:55Z,"48.8810924662,2.34082248062",Paris,NA
12004,Traversière - Ledru-Rollin,OUI,34,3,30,26,4,OUI,OUI,2020-05-29T10:43:17Z,"48.8507358241,2.37587011171",Paris,NA
21024,Billancourt - Général Leclerc,OUI,22,14,8,6,2,OUI,OUI,2020-05-29T10:43:02Z,"48.8322649,2.2380413",Boulogne-Billancourt,NA
9012,Rougemont - Poissonnière,OUI,30,14,16,6,10,OUI,OUI,2020-05-29T10:42:21Z,"48.8716115694,2.34587308019",Paris,NA
13113,Vistule - Choisy,OUI,33,18,12,2,10,OUI,OUI,2020-05-29T10:43:29Z,"48.8236554366,2.36157238483",Paris,NA
2101,Bachaumont - Montmartre,OUI,33,11,21,16,5,OUI,OUI,2020-05-29T10:43:32Z,"48.8661739508,2.34497755766",Paris,NA
16031,Vignes - Boulainvilliers,OUI,21,15,6,2,4,OUI,OUI,2020-05-29T10:42:32Z,"48.856399484,2.27524045855",Paris,NA
17005,Brochant - Clichy,OUI,53,45,7,5,2,OUI,OUI,2020-05-29T10:43:03Z,"48.8903299891,2.31973055993",Paris,NA
23005,Gare de Clichy-Levallois,OUI,26,17,9,5,4,OUI,OUI,2020-05-29T10:39:21Z,"48.8967982748,2.29846805334",Levallois-Perret,NA
44103,Pont De Charenton,OUI,18,12,6,3,3,OUI,OUI,2020-05-29T10:38:16Z,"48.8179685,2.4199531",Saint-Maurice,NA
19113,Pré Saint-Gervais - Lilas,OUI,28,28,0,0,0,OUI,OUI,2020-05-29T10:42:00Z,"48.877870627,2.39590734243",Paris,NA
8011,Clapeyron - Moscou,OUI,15,12,2,1,1,OUI,OUI,2020-05-29T10:40:40Z,"48.8807881951,2.32481505722",Paris,NA
11032,Jean-Pierre Timbaud - Vaucouleurs,OUI,47,42,5,1,4,OUI,OUI,2020-05-29T10:38:00Z,"48.867937,2.377885",Paris,NA
4003,Quai aux Fleurs - Pont Saint-Louis,OUI,21,9,11,10,1,OUI,OUI,2020-05-29T10:36:31Z,"48.8529159562,2.35219571739",Paris,NA
10018,Square Alban Satragne,OUI,30,0,0,0,0,NON,NON,2020-05-29T10:41:32Z,"48.8753405484,2.35588476062",Paris,NA
14010,Jean Moulin - Place Victor et Hélène Basch,OUI,41,37,4,3,1,OUI,OUI,2020-05-29T10:43:32Z,"48.8276491024,2.32619673014",Paris,NA
35001,Jean Jaurès - Ouvrières Pivéreuses,OUI,20,11,9,0,9,OUI,OUI,2020-05-29T10:39:38Z,"48.9104234375,2.39957660437",Pantin,NA
13109,Brillat-Savarin - Küss,OUI,21,13,7,5,2,OUI,OUI,2020-05-29T10:42:14Z,"48.822203,2.350422",Paris,NA
15064,Javel - André Citroën,OUI,45,24,21,18,3,OUI,OUI,2020-05-29T10:43:32Z,"48.8462764855,2.27863680571",Paris,NA
22303,Lucien Lanternier - Le Luth,OUI,27,10,17,0,17,OUI,OUI,2020-05-29T10:41:26Z,"48.9315943056,2.28897839785",Gennevilliers,NA
24003,Place Charles de Gaulle,OUI,28,14,13,6,7,OUI,OUI,2020-05-29T10:43:08Z,"48.8966431015,2.25257009268",Courbevoie,NA
46002,Rouget de Lisle,NON,0,0,0,0,0,NON,NON,2019-03-19T14:06:29Z,"48.7646675418,2.407155402",Choisy-le-Roi,NA
1021,Halles - Bourdonnais,OUI,20,11,8,2,6,OUI,OUI,2020-05-29T10:41:24Z,"48.8604489926,2.3460162431",Paris,NA
12018,Saint-Mandé - Fabre d'Eglantine,OUI,34,28,6,6,0,OUI,OUI,2020-05-29T10:41:38Z,"48.8453579,2.3965022",Paris,NA
15018,Dutot - Place Alleray,OUI,56,50,6,3,3,OUI,OUI,2020-05-29T10:40:23Z,"48.8368260918,2.30717010956",Paris,NA
4006,Bourdon - Pont Morland,OUI,52,35,17,15,2,OUI,OUI,2020-05-29T10:42:19Z,"48.8478103,2.3659356",Paris,NA
10038,Place du Colonel Fabien,OUI,27,24,3,0,3,OUI,OUI,2020-05-29T10:41:56Z,"48.8775683209,2.36987918615",Paris,NA
19046,Porte de Pantin,OUI,33,13,20,9,11,OUI,OUI,2020-05-29T10:43:25Z,"48.8891997256,2.39501819015",Paris,NA
14023,Adolphe Pinard - Victor Hugo,OUI,52,42,10,4,6,OUI,OUI,2020-05-29T10:43:25Z,"48.8236825875,2.30778437108",Malakoff,NA
6007,Bréa - Raspail,OUI,24,21,3,3,0,OUI,OUI,2020-05-29T10:41:01Z,"48.8427384783,2.32979422176",Paris,NA
1013,Place du Palais Royal,OUI,67,26,41,33,8,OUI,OUI,2020-05-29T10:41:28Z,"48.8624302348,2.33852013115",Paris,NA
11022,Roquette - Auguste Laurent,OUI,16,11,5,3,2,OUI,OUI,2020-05-29T10:35:50Z,"48.858001906,2.38179770265",Paris,NA
12102,Bercy - Traversiére,OUI,30,6,24,14,10,OUI,OUI,2020-05-29T10:40:44Z,"48.8461926426,2.37038008869",Paris,NA
16025,Jean de la Fontaine - Boulainvilliers,OUI,69,32,35,31,4,OUI,OUI,2020-05-29T10:43:34Z,"48.8526479146,2.27586641908",Paris,NA
14035,Maine - Jean Zay,OUI,50,47,3,1,2,OUI,OUI,2020-05-29T10:40:27Z,"48.8379252639,2.32254289091",Paris,NA
15050,Dominique Pado - Croix Nivert,OUI,22,14,8,6,2,OUI,OUI,2020-05-29T10:40:57Z,"48.8364879816,2.28972505778",Paris,NA
20106,Mairie du 20ème,OUI,27,26,1,0,1,OUI,OUI,2020-05-29T10:42:08Z,"48.8653023243,2.39906698465",Paris,NA
20033,Etienne Dolet - Place Maurice Chevalier,OUI,33,31,2,1,1,OUI,OUI,2020-05-29T10:43:34Z,"48.8679830336,2.38514053111",Paris,NA
10105,Mazagran - Bonne Nouvelle,OUI,25,25,0,0,0,NON,NON,2020-02-17T02:05:35Z,"48.870278,2.351281",Paris,NA
7014,Saint-François-Xavier,OUI,42,13,29,17,12,OUI,OUI,2020-05-29T10:43:13Z,"48.8515448477,2.31461495161",Paris,NA
26003,Argenteuil - Voltaire,OUI,16,11,5,0,5,OUI,OUI,2020-05-29T10:37:45Z,"48.9186486596,2.28141121566",Asnières-sur-Seine,NA
92007,Pesaro - Préfecture,OUI,22,9,13,2,11,OUI,OUI,2020-05-29T10:42:09Z,"48.8957704628,2.22390834242",Nanterre,NA
19101,Square Simon Bolivar,OUI,24,20,3,0,3,OUI,OUI,2020-05-29T10:42:28Z,"48.8750898883,2.38263040781",Paris,NA
21312,Lucie Aubrac - Fort,OUI,30,21,9,1,8,OUI,OUI,2020-05-29T10:36:06Z,"48.818144834,2.27118462324",Issy-les-Moulineaux,NA
5004,Saint-Jacques - Val de Grâce,OUI,20,15,5,1,4,OUI,OUI,2020-05-29T10:35:28Z,"48.8417514,2.3413893",Paris,NA
14008,Mouton Duvernet - Général Leclerc,OUI,39,38,1,0,1,OUI,OUI,2020-05-29T10:36:28Z,"48.8316325183,2.32931211591",Paris,NA
31102,Boissière - Etienne Dolet,OUI,21,13,7,1,6,OUI,OUI,2020-05-29T10:41:57Z,"48.876111,2.4677312",Montreuil,NA
20115,Louis Lumière - Porte de Bagnolet,OUI,20,18,2,0,2,OUI,OUI,2020-05-29T10:41:56Z,"48.86431136,2.41052102298",Paris,NA
17013,Legendre - Dulong,OUI,23,20,3,0,3,OUI,OUI,2020-05-29T10:36:16Z,"48.8853251694,2.31642376631",Paris,NA
24001,Léonard de Vinci,OUI,28,10,18,3,15,OUI,OUI,2020-05-29T10:38:03Z,"48.8979097249,2.23837230436",Courbevoie,NA
22003,Beffroy,OUI,26,9,17,9,8,OUI,OUI,2020-05-29T10:42:59Z,"48.8865910745,2.26139456034",Neuilly-sur-Seine,NA
41601,Général De Gaulle - Alouette,OUI,26,21,5,1,4,OUI,OUI,2020-05-29T10:39:48Z,"48.839109,2.4175664",Saint-Mandé,NA
21112,Claude Debussy - Marc Bloch,OUI,28,19,9,3,6,OUI,OUI,2020-05-29T10:40:02Z,"48.9103881805,2.31177717447",Clichy,NA
42302,Aristide Briand - Gare de Bagneux,OUI,22,8,14,5,9,OUI,OUI,2020-05-29T10:42:36Z,"48.7938726966,2.32114881277",Cachan,NA
22505,Mairie de La Garenne Colombes,OUI,22,13,8,4,4,OUI,OUI,2020-05-29T10:42:57Z,"48.906475,2.246955",La Garenne-Colombes,NA
21502,Verdun - Place Henri IV,OUI,26,18,8,4,4,OUI,OUI,2020-05-29T10:40:09Z,"48.8707973756,2.22770031542",Suresnes,NA
11114,Ledru-Rollin - Charonne,OUI,32,2,30,25,5,OUI,OUI,2020-05-29T10:43:21Z,"48.8534585561,2.37724635819",Paris,NA
21105,Morice - Général Leclerc,OUI,25,13,12,9,3,OUI,OUI,2020-05-29T10:42:44Z,"48.9024547198,2.31289297342",Clichy,NA
13043,Dunois - Clisson,OUI,51,42,9,8,1,OUI,OUI,2020-05-29T10:42:17Z,"48.832294,2.3674523",Paris,NA
18032,Porte de Clignancourt,OUI,56,50,6,1,5,OUI,OUI,2020-05-29T10:41:56Z,"48.897488,2.343996",Paris,NA
19109,Tanger - Place du Maroc,OUI,19,18,1,1,0,OUI,OUI,2020-05-29T10:38:44Z,"48.8862524447,2.36892968416",Paris,NA
32014,Place du Cornillon - Stade de France,OUI,34,23,11,0,11,OUI,OUI,2020-05-29T10:42:03Z,"48.9254069584,2.36444268376",Saint-Denis,NA
11116,Faubourg St-Antoine - Place de la Nation,OUI,37,31,3,3,0,OUI,OUI,2020-05-29T10:43:30Z,"48.8487659,2.3940436",Paris,NA
10020,Chabrol - d'Hauteville,OUI,11,3,7,3,4,OUI,OUI,2020-05-29T10:43:15Z,"48.877018388,2.35131796449",Paris,NA
18008,Square Léon,OUI,33,31,2,1,1,OUI,OUI,2020-05-29T10:38:15Z,"48.8866739679,2.35320556909",Paris,NA
10028,Gare du Nord - Dunkerque,OUI,29,28,1,0,1,OUI,OUI,2020-05-29T10:34:19Z,"48.8804235084,2.35276367515",Paris,NA
4110,Neuve Saint-Pierre - Beautreillis,OUI,20,15,1,1,0,OUI,OUI,2020-05-29T10:41:25Z,"48.8535535144,2.36391227692",Paris,NA
2013,Favart - Italiens,OUI,17,5,11,7,4,OUI,OUI,2020-05-29T10:42:42Z,"48.8714463539,2.33829010585",Paris,NA
31023,Place François Mitterand,OUI,34,24,10,2,8,OUI,OUI,2020-05-29T10:41:47Z,"48.8649278202,2.4429583177",Montreuil,NA
23302,Parc de Sceaux - Centre-Ville,OUI,33,9,24,17,7,OUI,OUI,2020-05-29T10:42:50Z,"48.7769529826,2.29572147131",Sceaux,NA
12154,Square Georges Melies,OUI,40,34,6,1,5,OUI,OUI,2020-05-29T10:43:33Z,"48.8407023921,2.40966774523",Paris,NA
20045,Louis Ganne - Davout,OUI,30,24,6,3,3,OUI,OUI,2020-05-29T10:42:33Z,"48.8633872069,2.409725748",Paris,NA
12127,Tremblay - Lac des Minimes,OUI,48,10,36,20,16,OUI,OUI,2020-05-29T10:42:39Z,"48.8341312615,2.45475165546",Paris,NA
12153,Terroirs de France - Lheureux,OUI,55,17,38,29,9,OUI,OUI,2020-05-29T10:40:26Z,"48.8321202707,2.38861810416",Paris,NA
18142,Jessaint - Marx Dormoy,OUI,30,26,4,1,3,OUI,OUI,2020-05-29T10:38:34Z,"48.8848454311,2.35893040895",Paris,NA
42011,Quai Marcel Boyer - Victor Hugo,OUI,29,17,12,12,0,OUI,OUI,2020-05-29T10:42:32Z,"48.8225563667,2.39203959703",Ivry-sur-Seine,NA
92005,Gare de Nanterre Ville,OUI,43,18,25,9,16,OUI,OUI,2020-05-29T10:41:53Z,"48.8950295,2.1957932",Nanterre,NA
8101,Londres - Amsterdam,OUI,23,15,8,3,5,OUI,OUI,2020-05-29T10:42:48Z,"48.8780344615,2.32648354097",Paris,NA
31101,Jules Guesde - Laennec,OUI,19,14,3,0,3,OUI,OUI,2020-05-29T10:36:46Z,"48.876289839,2.50069420785",Rosny-sous-Bois,NA
9036,Athènes - Clichy,OUI,20,13,7,5,2,OUI,OUI,2020-05-29T10:41:52Z,"48.8781137879,2.32956021946",Paris,NA
10110,Louis Blanc - Jemmapes,OUI,31,30,1,1,0,OUI,OUI,2020-05-29T10:33:44Z,"48.8793307553,2.36844856292",Paris,NA
13515,Auguste Blanqui - Glacière,OUI,60,45,14,8,6,OUI,OUI,2020-05-29T10:41:30Z,"48.831151603,2.34382219613",Paris,NA
17039,Place Saint-Ferdinand,OUI,38,35,3,2,1,OUI,OUI,2020-05-29T10:43:20Z,"48.8781552979,2.28851804786",Paris,NA
16003,André Maurois - Joseph et Marie Hackin,OUI,29,9,20,18,2,OUI,OUI,2020-05-29T10:43:24Z,"48.8778983,2.2789591",Paris,NA
16002,Pergolèse - Malakoff,OUI,38,9,0,0,0,OUI,OUI,2020-05-29T10:36:58Z,"48.8752108878,2.28427816182",Paris,NA
9004,Gérando - Rochechouart,OUI,21,17,3,1,2,OUI,OUI,2020-05-29T10:41:22Z,"48.8829434084,2.34648462385",Paris,NA
33016,Fort d'Aubervilliers,OUI,22,6,16,8,8,OUI,OUI,2020-05-29T10:42:24Z,"48.9150238237,2.4035281688",Aubervilliers,NA
17106,Berthier - Porte de Clichy,NON,0,0,0,0,0,NON,NON,2019-02-14T09:23:11Z,"48.8943023236,2.31256279563",Paris,NA
10021,Marché Saint-Quentin,OUI,15,11,4,4,0,OUI,OUI,2020-05-29T10:33:57Z,"48.8773560577,2.35451144564",Paris,NA
41211,Louis Xavier de Ricard - Ancienne Mairie,OUI,34,25,9,2,7,OUI,OUI,2020-05-29T10:36:02Z,"48.8462989907,2.47242037207",Fontenay-sous-Bois,NA
44011,Lebrun - Colonel Fabien,OUI,27,20,7,5,2,OUI,OUI,2020-05-29T10:36:16Z,"48.7826687073,2.38131780177",Vitry-sur-Seine,NA
4019,Cloître Saint-Merri - Renard,OUI,32,4,28,22,6,OUI,OUI,2020-05-29T10:42:58Z,"48.8588354489,2.35182791948",Paris,NA
9007,Condorcet - Turgot,OUI,20,15,4,2,2,OUI,OUI,2020-05-29T10:41:00Z,"48.8798515579,2.34523236752",Paris,NA
13123,Bibliothèque Nationale de France,OUI,42,3,38,22,16,OUI,OUI,2020-05-29T10:43:27Z,"48.8350268238,2.3760157451",Paris,NA
8044,Alfred de Vigny - Place du Général Brocard,OUI,33,22,11,4,7,OUI,OUI,2020-05-29T10:41:30Z,"48.8783613836,2.30525444822",Paris,NA
22201,Henri Ravera - Gabriel Péri,OUI,30,22,8,2,6,OUI,OUI,2020-05-29T10:43:26Z,"48.7972227383,2.3021158576",Bagneux,NA
45002,Roger Salengro - Général de Gaulle,OUI,27,13,14,13,1,OUI,OUI,2020-05-29T10:43:05Z,"48.8200290104,2.48467605561",Champigny-sur-Marne,NA
47003,Charentonneau - Maisons Alfort,OUI,20,13,7,4,3,OUI,OUI,2020-05-29T10:42:24Z,"48.8099329805,2.4432884565",Maisons-Alfort,NA
2015,Louis le Grand - Italiens,OUI,33,11,22,13,9,OUI,OUI,2020-05-29T10:42:14Z,"48.8705089372,2.33405446194",Paris,NA
3001,Beaumarchais - Saint-Gilles,OUI,51,26,25,23,2,OUI,OUI,2020-05-29T10:41:44Z,"48.8580378,2.3679352",Paris,NA
2008,Mairie du 2ème,OUI,28,17,11,6,5,OUI,OUI,2020-05-29T10:42:50Z,"48.8672190355,2.34046254377",Paris,NA
12166,Parc Floral du Bel Air,NON,0,0,0,0,0,NON,NON,2019-03-21T09:51:43Z,"48.8399190566,2.4383802345",Paris,NA
22603,Place de la Division Leclerc,OUI,35,29,6,0,6,OUI,OUI,2020-05-29T10:42:02Z,"48.7938249886,2.27311404306",Fontenay-aux-Roses,NA
23301,Les Blagis,OUI,27,1,26,25,1,OUI,OUI,2020-05-29T10:40:07Z,"48.785205,2.302526",Sceaux,NA
5027,Gobelins - Port-Royal,OUI,41,11,29,26,3,OUI,OUI,2020-05-29T10:43:24Z,"48.8371359003,2.351520136",Paris,NA
42024,Danielle Casanova - Ledru-Rollin,OUI,28,16,12,8,4,OUI,OUI,2020-05-29T10:43:22Z,"48.8157834979,2.3832597211",Ivry-sur-Seine,NA
21002,Place Denfert-Rochereau,OUI,20,9,10,9,1,OUI,OUI,2020-05-29T10:38:08Z,"48.8432525363,2.24598795176",Boulogne-Billancourt,NA
44010,8 Mai 1945 - 10 Juillet 1940,NON,30,30,0,0,0,NON,NON,2019-05-17T10:08:17Z,"48.7845670297,2.39790357649",Vitry-sur-Seine,NA
20110,Gambetta - Tourelles,OUI,20,17,3,0,3,OUI,OUI,2020-05-29T10:40:34Z,"48.8753379023,2.40599211305",Paris,NA
18047,St-Ouen - Lamarck,OUI,45,42,4,1,3,OUI,OUI,2020-05-29T10:42:15Z,"48.8910830403,2.32673569484",Paris,NA
14004,Port Royal - Hôpital Cochin,OUI,23,10,12,1,11,OUI,OUI,2020-05-29T10:38:36Z,"48.8383732338,2.34071787447",Paris,NA
18021,Marcadet - Ramey,OUI,21,18,2,0,2,OUI,OUI,2020-05-29T10:36:39Z,"48.890875,2.3449019",Paris,NA
21023,Ancienne Mairie - André Morizet,OUI,25,17,8,4,4,OUI,OUI,2020-05-29T10:42:39Z,"48.838311,2.234077",Boulogne-Billancourt,NA
42205,Place Aristide Briand,OUI,35,27,8,6,2,OUI,OUI,2020-05-29T10:42:57Z,"48.8218923658,2.41300374269",Charenton-le-Pont,NA
20014,Charonne - Alexandre Dumas,OUI,35,34,1,1,0,OUI,OUI,2020-05-29T10:42:19Z,"48.8560774151,2.39486932755",Paris,NA
13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,OUI,60,0,60,37,23,OUI,OUI,2020-05-29T10:42:07Z,"48.8285952839,2.38022060627",Paris,NA
12122,Bois de Vincennes - Polygone,OUI,51,41,9,5,4,OUI,OUI,2020-05-29T10:42:00Z,"48.8354449162,2.43142108144",Paris,NA
14025,Jacquier - Didot,OUI,30,29,1,0,1,OUI,OUI,2020-05-29T10:42:50Z,"48.8295333629,2.31817927212",Paris,NA
19007,Flandre - Ourcq,OUI,30,26,4,2,2,OUI,OUI,2020-05-29T10:42:10Z,"48.8926015919,2.37909156829",Paris,NA
7003,Square Boucicaut,OUI,60,15,45,22,23,OUI,OUI,2020-05-29T10:43:26Z,"48.8512964337,2.32506182045",Paris,NA
15026,Bir Hakeim,OUI,33,6,27,22,5,OUI,OUI,2020-05-29T10:41:32Z,"48.8538440543,2.28970534822",Paris,NA
20035,Pyrénées - Ménilmontant,OUI,26,23,3,1,2,OUI,OUI,2020-05-29T10:41:53Z,"48.8693268535,2.39508457482",Paris,NA
10029,Dunkerque - Rocroy,OUI,24,22,2,0,2,OUI,OUI,2020-05-29T10:38:25Z,"48.880726,2.351464",Paris,NA
22409,Henri Barbusse - Stalingrad,OUI,16,3,13,8,5,OUI,OUI,2020-05-29T10:39:52Z,"48.8145807102,2.28753000498",Malakoff,NA
19015,Thionville - Ourcq,OUI,24,19,4,2,2,OUI,OUI,2020-05-29T10:41:40Z,"48.8891761374,2.38336533308",Paris,NA
15056,Place Balard,OUI,22,2,20,15,5,OUI,OUI,2020-05-29T10:42:56Z,"48.8363957364,2.27841921151",Paris,NA
31016,Lucie Aubrac - Franklin,OUI,36,27,9,6,3,OUI,OUI,2020-05-29T10:41:33Z,"48.8622391601,2.44358628988",Montreuil,NA
1119,Cossonnerie - Sébastopol,OUI,24,9,15,14,1,OUI,OUI,2020-05-29T10:43:33Z,"48.8613266591,2.34941963106",Paris,NA
