Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
12038,Picpus - Louis Braille,OUI,44,18,26,11,15,OUI,OUI,2020-05-29T10:43:17Z,"48.8399887889,2.40052566855",Paris,NA
92006,Place Nelson Mandela,OUI,30,26,4,0,4,OUI,OUI,2020-05-29T10:39:16Z,"48.8978743182,2.21828207374",Nanterre,NA
21315,Jules Guesdes - Général de Gaulle,OUI,24,20,4,3,1,OUI,OUI,2020-05-29T10:37:11Z,"48.8193058129,2.27893419564",Issy-les-Moulineaux,NA
13052,Leredde - Tolbiac,OUI,44,12,31,30,1,OUI,OUI,2020-05-29T10:43:09Z,"48.8288762966,2.37443827093",Paris,NA
16005,Raymond Poincaré - Place Victor Hugo,OUI,25,19,6,1,5,OUI,OUI,2020-05-29T10:42:24Z,"48.8703061244,2.28507454142",Paris,NA
18026,Ruisseau - Ordener,OUI,35,33,2,1,1,OUI,OUI,2020-05-29T10:40:22Z,"48.8929946257,2.34014488757",Paris,NA
5007,Ecoles - Carmes,OUI,36,7,27,26,1,OUI,OUI,2020-05-29T10:41:31Z,"48.848904448,2.34734863043",Paris,NA
11112,Jules Vallès - Charonne,OUI,23,18,5,1,4,OUI,OUI,2020-05-29T10:40:04Z,"48.8542843799,2.38476745784",Paris,NA
20034,Sorbier - Ménilmontant,OUI,24,23,1,0,1,OUI,OUI,2020-05-29T10:39:21Z,"48.8685423957,2.38977212459",Paris,NA
7021,Bosquet - Saint-Dominique,OUI,28,2,24,19,5,OUI,OUI,2020-05-29T10:42:30Z,"48.8586517095,2.30371658023",Paris,NA
21215,Verdier - Jean Jaurès,OUI,33,28,5,3,2,OUI,OUI,2020-05-29T10:42:13Z,"48.8161404871,2.31235619634",Montrouge,NA
19111,Cesaria Evora - Rosa Parks,OUI,40,24,16,10,6,OUI,OUI,2020-05-29T10:43:09Z,"48.8971767283,2.37451739609",Paris,NA
19130,Place Paul Delouvrier,NON,26,26,0,0,0,NON,NON,2019-05-02T08:16:40Z,"48.8920258128,2.38515939564",Paris,NA
1017,Saint-Honoré - 29 juillet,OUI,20,3,16,10,6,OUI,OUI,2020-05-29T10:43:30Z,"48.8655711428,2.33056741758",Paris,NA
31020,Résistance - Parmentier,OUI,35,34,1,0,1,OUI,OUI,2020-05-29T10:42:08Z,"48.8596513813,2.43670508265",Montreuil,NA
2020,Danielle Casanova - Opéra,OUI,20,1,19,10,9,OUI,OUI,2020-05-29T10:43:31Z,"48.8676432423,2.33338940889",Paris,NA
45004,République - Louis Loucheur,OUI,37,8,29,8,21,OUI,OUI,2020-05-29T10:43:02Z,"48.8235492612,2.51018654555",Champigny-sur-Marne,NA
41602,Place Charles Digeon,OUI,32,28,4,0,4,OUI,OUI,2020-05-29T10:41:18Z,"48.8435420313,2.41842716932",Saint-Mandé,NA
19001,Crimée - Ourcq,OUI,56,46,7,3,4,OUI,OUI,2020-05-29T10:37:28Z,"48.8941041403,2.37294608847",Paris,NA
22007,Commandant Charcot - Bretteville,OUI,36,10,26,19,7,OUI,OUI,2020-05-29T10:43:03Z,"48.8753057077,2.25584607571",Neuilly-sur-Seine,NA
12109,Mairie du 12ème,OUI,30,21,8,4,4,OUI,OUI,2020-05-29T10:39:52Z,"48.8408553118,2.38755494356",Paris,NA
33006,André Karman - République,OUI,31,26,6,1,5,OUI,OUI,2020-05-29T10:39:39Z,"48.9103987576,2.38513559103",Aubervilliers,NA
7004,Raspail - Varenne,OUI,18,0,17,5,12,OUI,OUI,2020-05-29T10:43:33Z,"48.8531478165,2.32639051974",Paris,NA
8053,Place Georges Guillaumin,OUI,29,21,7,6,1,OUI,OUI,2020-05-29T10:41:49Z,"48.874750204,2.30177143533",Paris,NA
10027,Dunkerque - Alsace,OUI,18,15,3,1,2,OUI,OUI,2020-05-29T10:38:14Z,"48.879355,2.358379",Paris,NA
5022,Boulangers - Cardinal Lemoine,OUI,20,19,0,0,0,OUI,OUI,2020-05-29T10:39:56Z,"48.8462904,2.3521495",Paris,NA
1001,Quai de l'Horloge - Pont Neuf,OUI,17,9,7,4,3,OUI,OUI,2020-05-29T10:39:11Z,"48.8570587391,2.34179828394",Paris,NA
